Size (bp),F1: 1,F2: 2,F3: 3,F4: 4,F5: 1,F6: 2,F7: 3,F8: 4,F9: SampF9,F10: SampF10,F11: SampF11,F12: ladder
3999.09,14.20,5896.17,1746.44,3425.04,102.02,7209.33,1539.11,1278.56,23.75,18.73,-8.59,216.84
4022.34,11.36,5919.67,1728.75,3449.06,102.84,7207.52,1530.11,1277.21,30.80,17.60,-14.46,222.08
4045.60,4.94,5940.29,1711.16,3495.87,106.93,7205.99,1520.74,1279.51,29.68,17.80,-14.37,228.00
4068.86,-1.19,5952.49,1691.37,3511.78,113.28,7223.81,1510.41,1273.12,20.99,17.78,-10.41,234.33
4092.12,-3.27,5951.55,1664.61,3471.73,117.98,7273.56,1504.74,1260.00,12.62,16.09,-7.33,238.80
4115.38,-0.83,5926.91,1632.96,3411.37,118.18,7340.52,1502.99,1256.10,12.75,15.29,-5.05,239.11
4138.64,3.54,5877.90,1602.80,3375.46,114.94,7396.88,1498.29,1270.97,18.77,18.65,-1.86,236.22
4161.90,6.69,5825.30,1580.87,3374.29,113.53,7433.00,1487.01,1291.74,21.43,24.62,0.19,233.16
4185.16,7.66,5792.08,1575.63,3394.21,117.68,7468.52,1471.68,1297.96,19.53,27.97,-1.50,231.73
4208.42,7.12,5783.17,1587.79,3418.98,124.45,7530.99,1456.76,1285.04,19.40,26.19,-4.93,233.17
4231.68,5.14,5788.59,1601.49,3439.42,127.53,7618.69,1444.81,1265.30,23.19,22.22,-6.42,237.51
4254.94,3.27,5796.47,1599.15,3454.34,124.35,7693.63,1433.92,1251.50,26.91,19.73,-5.43,241.82
4278.20,4.26,5802.76,1580.32,3463.38,118.31,7722.73,1418.83,1243.74,27.01,19.68,-4.52,245.47
4301.46,6.86,5812.64,1557.52,3463.09,113.71,7708.85,1399.13,1235.45,24.17,21.82,-6.37,251.36
4324.72,6.45,5832.32,1537.67,3452.38,111.63,7670.48,1381.88,1232.10,20.48,23.87,-9.96,257.50
4347.98,1.23,5860.40,1519.41,3439.85,111.01,7617.88,1372.47,1248.84,16.37,22.04,-11.60,258.58
4371.24,-5.11,5888.52,1506.75,3441.60,110.54,7560.57,1372.38,1285.76,13.27,17.36,-11.08,256.38
4394.49,-7.03,5908.12,1503.95,3465.01,110.55,7508.88,1385.65,1323.17,13.37,15.45,-10.92,256.71
4417.75,-3.62,5914.87,1502.76,3499.59,112.54,7462.12,1412.10,1344.10,15.61,17.98,-10.69,260.07
4441.01,1.34,5910.63,1496.60,3514.68,114.05,7413.43,1437.18,1349.47,17.27,21.33,-8.10,263.07
4464.27,4.98,5903.29,1492.94,3529.77,110.20,7359.10,1447.34,1349.04,17.43,22.67,-2.85,263.60
4487.53,7.02,5897.67,1498.34,3544.44,103.04,7296.70,1449.07,1345.21,16.61,22.52,2.30,262.40
4510.79,7.20,5885.30,1507.39,3541.88,100.23,7227.26,1457.62,1336.29,16.13,23.24,3.07,262.96
4534.05,4.81,5853.54,1512.96,3539.55,103.80,7158.23,1476.47,1330.96,17.08,26.24,-1.10,268.12
4557.31,0.72,5802.00,1515.13,3559.21,108.82,7094.56,1495.77,1340.31,19.30,29.56,-5.44,274.82
4580.57,-1.63,5739.28,1518.11,3601.10,111.24,7027.90,1505.38,1358.08,22.81,30.47,-6.22,277.03
4603.83,2.11,5670.21,1525.09,3644.58,111.25,6944.11,1506.28,1368.64,26.71,29.72,-4.66,275.92
4627.09,11.72,5592.58,1535.26,3660.44,111.54,6851.37,1506.99,1368.65,27.63,29.04,-3.28,278.20
4650.35,19.17,5503.64,1542.59,3630.50,114.52,6787.00,1510.94,1362.50,24.56,27.15,-2.56,282.78
4673.61,17.62,5412.85,1543.28,3570.30,119.48,6775.31,1512.74,1350.38,21.90,22.96,-2.35,282.41
4696.87,10.19,5342.17,1543.55,3516.19,122.38,6799.81,1507.01,1336.08,23.82,19.19,-3.09,277.27
4720.13,2.24,5300.82,1551.49,3486.25,120.21,6834.02,1496.74,1330.92,28.89,19.39,-3.90,274.53
4743.39,-4.75,5269.59,1558.42,3470.85,115.51,6871.69,1486.78,1341.30,32.55,24.03,-3.22,276.80
4766.64,-7.56,5226.66,1565.36,3458.08,113.34,6920.94,1474.62,1358.96,33.59,30.14,-2.05,280.03
4789.90,-3.76,5178.21,1577.08,3449.07,114.32,6983.52,1459.14,1366.08,34.28,34.18,-2.83,282.99
4813.16,2.00,5147.26,1581.10,3447.63,116.26,7037.43,1454.68,1353.36,35.21,35.42,-5.34,288.94
4836.42,5.00,5143.27,1578.12,3450.74,119.38,7057.91,1450.22,1331.32,35.41,34.77,-6.62,295.46
4859.68,4.73,5160.72,1573.53,3452.11,123.97,7054.76,1457.81,1315.14,34.79,33.19,-5.11,294.73
4882.94,1.59,5198.75,1569.72,3446.06,127.84,7050.83,1476.94,1304.91,32.84,33.13,-2.75,285.38
4906.20,-1.20,5259.72,1563.30,3428.06,129.52,7043.48,1490.91,1293.25,29.38,36.22,-1.78,273.95
4929.46,0.16,5327.76,1553.23,3402.13,129.56,7024.62,1489.30,1281.54,26.26,39.73,-1.63,267.00
4952.72,5.22,5372.31,1544.77,3390.19,129.29,7003.96,1479.00,1277.16,25.28,39.90,-0.60,267.04
4975.98,11.77,5385.50,1542.46,3420.80,129.76,6981.49,1473.55,1282.57,26.27,36.76,1.09,272.62
4999.24,17.48,5390.85,1545.32,3495.97,129.25,6934.21,1475.77,1292.50,27.11,33.87,0.97,279.58
5022.50,19.48,5403.68,1550.86,3577.28,125.64,6850.68,1476.77,1301.93,25.33,33.86,-1.94,284.52
5045.76,17.30,5414.78,1558.61,3618.95,121.57,6746.51,1470.98,1313.44,21.40,35.66,-4.69,287.78
5069.02,14.35,5414.44,1568.26,3613.41,119.78,6643.21,1467.25,1331.31,18.39,37.11,-4.55,291.22
5092.28,14.01,5402.70,1578.17,3598.86,117.98,6553.26,1478.53,1354.49,18.33,37.78,-2.68,294.94
5115.53,14.41,5378.71,1586.75,3618.36,114.79,6470.48,1503.50,1375.33,20.84,38.11,-0.96,298.54
5138.79,11.35,5333.66,1592.24,3671.58,111.73,6377.98,1527.59,1383.15,23.56,38.28,1.05,303.85
5162.05,5.42,5263.36,1592.34,3715.80,109.62,6285.09,1538.94,1380.66,24.30,38.04,3.49,312.94
5185.31,1.55,5187.80,1587.79,3711.55,110.49,6222.44,1535.66,1385.70,23.62,36.10,4.63,323.63
5208.57,2.90,5132.82,1584.67,3658.81,116.61,6188.94,1523.22,1399.53,22.75,31.53,4.00,331.98
5231.83,7.03,5093.31,1588.58,3587.29,125.29,6150.14,1514.88,1397.76,21.34,27.88,3.73,337.62
5255.09,9.16,5044.44,1597.68,3516.00,130.53,6090.53,1526.58,1368.85,19.70,30.15,4.72,341.60
5278.35,9.08,4979.70,1606.45,3442.75,128.95,6030.61,1556.57,1334.32,18.91,36.53,4.52,342.95
5301.61,10.60,4914.72,1614.41,3370.25,123.21,5992.94,1577.98,1317.66,19.17,40.65,1.94,342.15
5324.87,12.94,4865.46,1624.13,3308.39,118.31,5974.99,1564.65,1316.42,20.85,40.20,-1.15,343.12
5348.13,10.63,4836.43,1633.93,3257.20,114.87,5957.14,1519.26,1314.01,24.27,37.57,-3.46,347.25
5371.39,4.20,4821.78,1637.50,3215.29,111.16,5921.64,1468.14,1298.09,29.36,36.35,-4.37,350.86
5394.65,0.31,4806.41,1626.86,3186.67,107.78,5863.11,1432.97,1265.82,35.54,37.55,-2.29,352.30
5417.91,1.30,4768.98,1598.29,3161.62,106.00,5794.33,1418.03,1226.41,39.67,38.26,2.64,355.13
5441.17,5.02,4699.33,1559.36,3121.71,107.62,5740.14,1415.41,1191.30,38.89,37.22,6.65,361.03
5464.43,10.72,4617.02,1524.99,3070.43,115.27,5713.35,1410.72,1162.91,36.40,37.95,6.94,366.80
5487.68,16.82,4556.74,1507.02,3025.84,127.78,5702.76,1398.89,1144.27,36.78,42.26,5.50,369.96
5510.94,19.24,4530.19,1505.96,2992.51,139.52,5693.33,1389.65,1138.39,38.30,46.74,5.22,372.16
5534.20,16.17,4518.88,1507.09,2968.32,145.86,5683.26,1382.99,1134.51,37.42,48.27,5.67,376.69
5557.46,11.67,4508.18,1493.77,2957.73,147.21,5672.40,1365.73,1124.78,35.60,46.94,5.65,383.81
5580.72,12.65,4503.17,1465.35,2959.88,148.08,5650.90,1338.13,1121.12,35.71,44.67,5.51,390.27
5603.98,19.53,4503.37,1433.48,2963.12,150.41,5613.12,1311.46,1131.55,36.61,44.03,5.63,395.29
5627.24,23.91,4493.07,1410.28,2958.35,150.73,5569.93,1285.34,1142.72,35.38,45.37,5.49,401.64
5650.50,20.09,4466.47,1402.65,2947.59,147.14,5531.93,1257.56,1141.77,33.65,46.02,4.40,408.34
5673.76,11.75,4434.08,1406.74,2939.59,142.59,5493.96,1242.17,1135.03,36.08,44.58,2.67,410.03
5697.02,5.19,4400.18,1409.47,2940.10,139.41,5449.79,1248.39,1131.24,41.15,42.50,2.06,406.12
5720.28,4.23,4355.06,1399.99,2947.71,136.66,5407.60,1257.41,1124.38,42.68,40.19,2.67,402.16
5743.54,9.40,4292.93,1379.12,2962.82,132.86,5377.70,1248.89,1108.49,40.14,36.64,1.83,402.13
5766.80,16.85,4225.48,1355.65,2993.84,127.98,5357.42,1233.55,1091.72,37.12,33.59,-0.71,406.46
5790.06,21.87,4173.64,1334.19,3044.43,123.22,5338.79,1235.72,1087.15,34.61,33.81,-1.67,412.66
5813.32,22.64,4150.32,1315.00,3097.43,120.89,5317.92,1258.74,1107.03,32.26,36.63,1.40,415.71
5836.57,17.63,4150.72,1304.38,3119.88,123.77,5290.48,1280.93,1151.12,30.47,40.54,8.26,415.04
5859.83,6.29,4155.72,1308.61,3093.73,132.77,5248.73,1279.98,1186.49,30.44,45.97,14.73,416.65
5883.09,-6.52,4147.98,1320.89,3039.18,144.28,5190.42,1255.24,1177.79,33.62,52.21,14.37,422.93
5906.35,-13.83,4123.42,1326.27,2990.96,151.43,5128.14,1223.01,1140.69,38.59,55.75,7.64,429.74
5929.61,-13.68,4082.43,1313.23,2958.55,150.14,5075.05,1199.37,1118.25,41.36,54.42,2.91,434.17
5952.87,-9.27,4021.06,1282.28,2929.32,143.40,5024.44,1193.86,1120.43,40.73,49.76,4.19,435.87
5976.13,-4.11,3945.22,1265.50,2896.86,136.86,4966.50,1206.15,1127.55,38.94,44.37,7.13,432.89
5999.39,1.05,3881.41,1248.72,2868.79,133.14,4907.25,1225.06,1126.82,37.37,40.10,8.08,423.37
6022.65,6.65,3849.76,1227.87,2854.16,133.31,4845.75,1237.03,1117.33,36.47,38.65,8.12,410.72
6045.91,10.69,3834.48,1219.50,2851.44,137.40,4767.38,1234.91,1101.64,37.65,40.58,8.48,401.84
6069.17,10.71,3808.07,1215.63,2849.88,141.70,4679.08,1219.68,1095.08,40.65,44.75,8.62,400.63
6092.43,7.93,3770.68,1214.61,2843.97,142.82,4611.43,1197.83,1088.53,42.49,50.11,8.03,404.99
6115.69,4.39,3735.59,1217.98,2838.58,142.74,4572.63,1179.41,1087.45,42.05,56.15,6.87,409.89
6138.95,0.41,3698.60,1222.61,2833.19,145.15,4535.66,1174.51,1092.47,41.48,60.31,6.53,412.49
6162.21,-2.51,3650.26,1224.42,2816.85,149.38,4481.23,1184.59,1085.73,41.69,59.51,9.33,413.00
6185.47,-1.88,3593.16,1223.33,2788.28,150.86,4420.32,1202.49,1060.10,41.53,55.57,14.92,413.21
6208.72,2.78,3530.08,1221.98,2761.11,147.53,4366.15,1220.62,1026.97,40.27,52.27,18.69,416.13
6231.98,9.99,3459.32,1221.45,2741.77,142.62,4317.68,1230.42,999.23,38.21,49.56,16.51,423.70
6255.24,16.79,3390.11,1217.83,2719.91,140.31,4272.49,1225.48,977.70,36.29,46.58,10.80,434.38
6278.50,18.53,3339.99,1207.06,2682.75,142.43,4230.54,1210.28,956.65,34.99,45.17,8.42,444.67
6301.76,13.51,3311.12,1192.43,2628.66,147.41,4192.01,1201.98,934.41,34.15,47.17,10.68,452.48
6325.02,6.75,3291.94,1180.17,2570.06,150.30,4160.32,1193.69,917.92,34.64,51.10,12.31,459.48
6348.28,4.10,3278.71,1171.37,2526.47,148.85,4139.07,1179.39,916.39,36.68,53.65,10.86,467.64
6371.54,7.38,3268.40,1165.03,2508.25,146.62,4129.21,1168.97,930.29,38.32,53.47,9.09,474.87
6394.80,15.28,3246.08,1162.11,2509.22,145.39,4132.76,1164.90,952.66,38.83,51.91,9.08,477.59
6418.06,22.97,3208.76,1161.07,2517.44,143.40,4150.01,1166.66,975.68,39.15,51.03,10.05,476.69
6441.32,25.49,3179.70,1156.66,2528.72,141.04,4167.31,1168.12,988.26,39.12,51.67,11.11,478.24
6464.58,23.39,3174.91,1147.81,2550.53,139.69,4163.12,1162.68,980.31,38.38,52.49,12.55,485.41
6487.84,20.31,3179.85,1142.45,2581.36,138.70,4140.80,1150.49,959.51,37.23,52.57,13.46,494.29
6511.10,17.37,3173.58,1149.13,2588.81,138.60,4127.97,1136.34,953.84,35.36,53.02,11.84,501.19
6534.36,14.57,3154.11,1162.46,2549.62,142.58,4129.97,1122.22,985.63,32.73,54.22,9.20,505.30
6557.61,13.31,3138.26,1165.97,2498.19,151.17,4128.44,1106.11,1039.00,30.56,55.75,10.40,505.68
6580.87,12.77,3145.29,1152.89,2485.58,157.89,4125.58,1089.28,1065.77,29.19,59.19,17.36,504.01
6604.13,10.96,3173.99,1133.19,2510.86,155.34,4133.50,1081.74,1037.71,27.71,65.09,25.83,503.49
6627.39,9.78,3205.57,1119.10,2525.28,145.84,4138.53,1092.17,979.23,28.00,69.12,29.53,504.84
6650.65,10.82,3230.87,1113.52,2498.37,139.07,4126.02,1111.75,936.16,33.40,67.24,27.33,509.17
6673.91,11.85,3250.00,1110.04,2457.18,138.89,4108.83,1120.05,928.25,42.01,62.96,23.61,517.93
6697.17,13.23,3259.62,1101.07,2440.20,141.43,4099.93,1109.91,941.24,48.21,62.85,21.32,528.28
6720.43,18.00,3263.86,1089.73,2441.12,145.03,4087.21,1094.30,951.47,48.96,66.61,20.02,533.31
6743.69,24.76,3270.74,1087.52,2429.79,151.62,4052.50,1089.90,947.02,45.16,68.45,20.15,526.59
6766.95,28.09,3268.62,1095.08,2401.34,158.79,3995.40,1102.45,931.48,40.99,65.95,22.26,509.77
6790.21,24.72,3237.20,1101.54,2373.29,159.89,3961.32,1122.17,917.13,41.00,62.17,23.29,495.77
6813.47,18.10,3180.40,1106.11,2348.06,160.99,3927.24,1133.18,910.20,44.14,60.85,20.47,496.75
6836.73,16.44,3126.64,1115.07,2311.26,158.60,3855.88,1131.37,902.68,45.60,62.26,16.99,510.39
6859.99,22.77,3102.98,1121.37,2267.26,156.85,3784.59,1123.42,887.06,44.72,64.00,17.14,525.63
6883.25,30.85,3112.07,1115.50,2243.34,156.81,3713.05,1113.39,868.70,44.83,64.74,19.30,538.02
6906.51,33.11,3125.68,1104.17,2246.53,155.40,3636.79,1104.55,855.57,46.75,64.45,18.54,550.30
6929.76,27.78,3112.23,1100.16,2246.99,151.77,3555.95,1102.75,851.14,47.45,63.06,13.54,560.93
6953.02,18.92,3069.24,1108.23,2225.17,148.48,3479.78,1108.57,856.80,44.21,61.68,8.95,562.31
6976.28,13.23,3010.21,1125.48,2200.63,149.37,3415.10,1118.22,866.40,38.23,62.49,9.25,552.53
6999.54,14.78,2939.20,1145.47,2192.46,156.05,3360.10,1131.13,866.94,33.91,64.71,12.06,542.15
7022.80,20.63,2859.54,1160.16,2186.99,162.45,3309.60,1146.13,855.31,33.79,65.08,12.84,542.22
7046.06,25.31,2782.21,1161.65,2161.73,159.73,3253.61,1157.95,843.88,36.80,64.05,11.64,549.94
7069.32,28.05,2712.60,1148.08,2116.57,149.63,3181.20,1163.12,844.19,40.93,65.22,10.80,554.92
7092.58,30.59,2647.21,1128.29,2072.71,142.54,3099.95,1159.79,851.60,43.53,68.03,11.55,553.78
7115.84,31.98,2583.00,1113.79,2053.21,142.93,3031.78,1144.28,850.41,41.35,68.35,14.05,551.84
7139.10,29.97,2521.28,1105.23,2064.16,146.03,2981.12,1120.97,834.54,34.79,65.45,17.24,555.02
7162.36,23.37,2468.30,1096.86,2084.66,147.86,2929.61,1101.72,815.38,28.58,62.32,19.43,562.82
7185.62,14.25,2429.79,1094.11,2085.37,150.99,2865.62,1083.89,802.31,26.15,61.63,19.96,568.47
7208.88,9.28,2403.25,1091.37,2062.52,157.52,2800.09,1054.78,790.86,27.62,63.19,18.75,566.74
7232.14,13.26,2379.77,1090.46,2034.94,162.15,2746.24,1019.43,778.65,32.81,64.20,15.89,561.38
7255.40,23.03,2348.56,1083.01,2024.15,159.46,2696.99,991.79,771.38,41.18,62.86,13.03,560.60
7278.66,31.64,2301.38,1064.33,2013.36,152.86,2636.83,968.15,767.51,49.34,60.34,11.38,564.12
7301.91,34.91,2239.99,1044.32,1997.65,149.50,2568.61,938.31,758.40,53.10,59.24,9.74,563.74
7325.17,33.93,2173.28,1027.20,1992.58,150.96,2512.30,907.17,742.84,51.35,61.16,8.47,558.48
7348.43,32.42,2106.33,1008.61,2001.55,153.73,2480.96,888.06,727.24,46.58,63.77,10.62,557.93
7371.69,31.46,2041.84,987.72,2012.57,154.21,2468.33,889.34,719.02,43.20,63.60,15.70,568.04
7394.95,30.07,1987.83,967.38,2010.71,151.77,2456.58,907.08,724.43,43.65,62.28,18.76,581.50
7418.21,29.42,1953.11,951.19,1996.60,148.78,2434.11,923.44,739.36,45.46,62.69,17.43,588.66
7441.47,31.65,1937.12,940.74,1976.13,147.42,2404.16,923.20,748.26,45.57,62.43,15.51,592.02
7464.73,36.96,1931.08,931.76,1947.64,146.75,2369.44,909.13,745.02,44.34,59.51,18.15,597.30
7487.99,42.52,1926.05,918.59,1911.46,143.23,2324.57,893.03,738.11,42.63,58.04,23.95,600.11
7511.25,43.46,1914.45,900.66,1874.36,136.24,2274.09,881.58,729.32,40.34,60.83,26.06,596.27
7534.51,39.20,1891.55,880.65,1845.28,131.46,2232.04,873.97,712.15,37.57,63.60,22.68,589.99
7557.77,34.75,1861.18,861.51,1830.53,133.67,2205.59,868.79,694.23,34.46,62.63,19.10,585.30
7581.03,32.72,1829.32,847.86,1820.85,141.40,2198.79,871.76,694.64,31.53,59.51,18.55,584.82
7604.29,31.62,1792.05,844.17,1796.02,149.28,2206.57,888.06,712.87,29.16,56.21,18.37,591.40
7627.55,31.39,1745.80,848.49,1752.94,150.33,2199.43,905.87,726.19,27.09,54.23,17.60,601.09
7650.80,32.55,1706.54,852.51,1710.67,142.12,2150.00,905.00,724.79,27.10,55.91,20.64,604.87
7674.06,32.57,1696.03,848.66,1685.81,132.74,2070.51,883.00,723.10,31.93,60.40,28.00,600.90
7697.32,29.75,1707.77,835.28,1676.78,131.82,2000.73,858.31,729.90,39.16,62.83,33.02,596.98
7720.58,26.92,1708.93,817.57,1673.67,138.65,1967.28,851.48,730.39,43.65,60.50,31.97,600.11
7743.84,27.52,1680.89,804.42,1670.41,145.44,1964.48,868.66,709.39,45.79,55.97,27.66,608.95
7767.10,32.51,1637.87,802.70,1660.58,148.09,1965.56,880.92,677.68,49.27,53.11,22.58,616.53
7790.36,41.50,1600.01,811.55,1642.39,149.13,1947.59,893.17,659.47,53.48,52.74,17.77,615.25
7813.62,52.19,1569.83,822.96,1631.97,150.87,1910.77,899.64,659.65,54.53,53.20,15.91,603.35
7836.88,59.64,1544.48,830.28,1642.62,149.99,1875.44,885.11,659.06,51.33,53.40,18.42,590.64
7860.14,59.97,1527.04,832.24,1660.83,145.00,1858.31,868.24,644.27,46.42,54.69,22.32,588.13
7883.40,55.37,1513.17,828.29,1669.76,142.56,1850.64,858.32,624.36,41.39,57.05,23.23,593.16
7906.66,51.28,1488.71,816.70,1669.33,146.95,1827.30,848.74,609.84,36.07,55.80,19.01,600.44
7929.92,48.88,1449.40,798.56,1656.31,153.14,1778.61,834.07,598.71,33.03,50.00,13.00,616.54
7953.18,47.22,1407.93,779.47,1621.48,155.67,1716.07,816.84,591.15,35.36,47.09,12.41,643.88
7976.44,45.57,1377.29,768.06,1571.83,153.31,1651.18,802.84,593.03,38.95,50.74,17.80,668.10
7999.70,41.50,1355.12,771.51,1525.70,147.03,1594.07,794.50,601.43,38.16,55.80,20.94,677.82
8022.95,39.31,1332.35,784.21,1493.86,140.40,1559.85,788.47,604.33,36.32,58.55,19.33,677.60
8046.21,39.58,1311.65,787.85,1483.92,136.66,1551.05,781.03,598.51,38.87,59.70,20.02,675.14
8069.47,41.60,1299.75,773.39,1498.57,135.86,1549.41,771.60,596.85,44.03,59.48,24.48,674.69
8092.73,45.41,1289.71,750.76,1513.76,137.31,1538.21,760.74,608.26,48.13,58.39,26.32,679.69
8115.99,50.13,1270.98,735.10,1496.42,139.21,1515.46,749.35,621.63,50.64,58.75,24.54,687.69
8139.25,54.68,1245.66,736.05,1456.48,138.81,1485.15,736.23,623.63,51.38,61.59,22.03,690.84
8162.51,58.59,1223.72,756.31,1435.67,137.73,1455.52,720.13,619.67,50.57,65.19,17.24,687.35
8185.77,60.16,1213.07,787.44,1440.35,139.58,1439.81,708.67,620.36,49.61,68.25,10.80,683.47
8209.03,59.70,1212.41,809.54,1438.29,143.80,1438.79,710.76,618.78,48.43,71.46,9.07,682.47
8232.29,62.02,1208.02,808.24,1419.49,149.35,1431.70,721.18,609.94,45.98,73.80,13.82,681.24
8255.55,68.46,1188.39,789.14,1405.59,155.65,1400.15,725.68,601.11,42.25,72.58,19.79,680.01
8278.81,74.31,1161.63,762.38,1402.81,157.22,1351.53,714.87,570.51,38.75,68.50,22.52,681.90
8302.07,77.55,1144.22,730.38,1392.06,151.14,1310.00,694.09,544.41,37.75,63.93,20.90,684.34
8325.33,78.66,1138.14,703.00,1363.76,143.85,1291.62,682.80,538.34,39.18,58.71,16.42,685.07
8348.59,74.99,1132.06,692.78,1332.62,140.47,1287.84,690.88,552.94,41.11,52.68,13.90,687.67
8371.84,66.72,1116.74,689.11,1317.70,139.52,1273.56,704.03,565.19,42.88,48.36,16.72,692.86
8395.10,60.13,1092.17,673.79,1323.34,140.21,1238.92,704.85,547.60,43.63,48.98,22.00,696.51
8418.36,58.68,1065.92,664.50,1341.66,141.81,1202.86,691.38,504.72,42.61,54.20,25.78,696.69
8441.62,60.23,1044.40,655.20,1365.16,141.51,1182.19,672.44,468.51,41.16,59.34,27.65,694.61
8464.88,62.66,1026.72,651.05,1384.07,138.78,1163.87,661.01,460.44,40.18,60.81,27.65,691.69
8488.14,64.76,1009.80,654.93,1378.29,135.20,1127.45,665.32,479.96,39.17,59.83,24.66,689.16
8511.40,65.61,992.63,650.51,1340.80,131.71,1079.91,675.67,513.50,38.82,60.02,19.24,690.06
8534.66,64.96,974.09,637.97,1297.66,128.67,1046.25,673.67,536.90,40.31,62.27,14.70,699.27
8557.92,61.66,953.92,627.08,1275.12,125.93,1035.02,659.11,534.93,43.16,63.52,14.04,716.75
8581.18,56.34,933.88,622.40,1270.21,125.77,1031.30,647.89,522.18,45.50,62.01,16.98,732.32
8604.44,54.49,914.28,622.32,1269.01,131.91,1019.50,644.47,518.18,45.75,59.61,20.77,734.69
8627.70,59.68,894.64,622.38,1268.43,141.00,999.86,638.28,519.05,44.10,57.84,23.13,726.88
8650.96,66.72,875.68,618.86,1272.36,145.13,980.80,624.57,514.83,41.94,56.71,23.39,723.51
8674.22,67.74,859.45,611.73,1272.61,144.59,963.74,612.19,507.12,40.80,54.85,22.04,729.06
8697.48,62.98,850.07,603.47,1248.86,145.84,943.91,611.47,500.96,41.28,50.61,19.38,732.34
8720.74,59.57,844.56,596.71,1204.19,149.76,921.99,619.65,500.17,41.44,46.73,14.77,728.90
8744.00,60.95,830.89,593.26,1175.35,152.47,903.85,621.73,506.40,39.10,47.90,9.54,730.29
8767.25,65.01,807.94,593.36,1183.11,152.46,892.23,608.48,513.99,34.86,52.28,7.15,745.31
8790.51,70.01,787.74,592.92,1203.36,151.08,887.59,586.76,514.42,30.69,54.06,7.26,769.06
8813.77,74.36,774.53,584.40,1209.46,148.44,891.01,568.64,507.44,28.43,52.40,6.77,792.75
8837.03,74.97,762.04,565.63,1207.10,142.82,899.60,561.36,501.50,29.14,50.51,5.94,811.83
8860.29,71.29,748.07,545.51,1206.27,136.83,902.10,569.73,506.96,32.15,49.58,6.08,822.77
8883.55,68.08,740.58,534.19,1196.64,136.31,883.90,592.67,532.47,35.54,47.59,6.50,820.39
8906.81,70.72,745.52,529.51,1171.02,140.16,844.92,614.49,567.60,37.58,43.01,7.83,805.85
8930.07,77.12,751.28,522.85,1143.72,142.61,807.07,615.41,573.14,38.15,38.87,10.74,792.26
8953.33,80.34,739.45,516.20,1130.11,143.29,786.47,592.93,528.54,38.16,39.68,11.99,790.26
8976.59,78.94,710.10,517.72,1124.72,144.52,771.54,563.52,466.42,36.85,44.88,8.42,795.74
8999.85,76.04,679.84,526.35,1112.02,144.74,750.04,546.32,425.10,32.68,49.33,2.51,802.98
9023.11,74.19,659.99,535.40,1089.44,141.93,733.51,546.27,411.00,27.38,48.53,-0.20,812.43
9046.37,75.29,648.24,540.05,1068.67,138.41,730.76,550.99,418.53,25.38,43.02,2.38,820.59
9069.63,76.02,634.65,537.32,1060.05,137.02,725.67,548.12,439.63,27.12,38.47,7.35,821.75
9092.88,68.90,611.89,531.04,1062.39,136.51,706.83,540.43,457.06,28.05,39.18,9.68,818.33
9116.14,56.38,586.63,529.65,1066.55,135.40,687.22,538.56,456.66,27.20,42.85,7.38,818.84
9139.40,50.12,573.32,535.24,1067.70,135.44,675.34,548.26,441.34,27.97,44.37,4.96,827.98
9162.66,52.97,572.22,544.88,1069.70,137.84,661.92,565.72,424.26,29.68,42.52,7.48,841.48
9185.92,58.08,568.77,555.15,1077.06,140.68,642.06,578.49,413.98,28.40,39.41,13.20,853.60
9209.18,61.90,553.86,558.63,1090.83,141.03,622.74,575.86,410.82,25.08,35.56,16.42,863.78
9232.44,64.44,531.02,548.97,1108.12,138.15,610.18,559.80,413.98,24.76,31.11,13.45,871.71
9255.70,65.06,510.93,531.56,1117.17,135.21,602.68,550.40,423.02,28.52,29.00,5.58,877.41
9278.96,65.26,503.79,518.14,1099.40,135.56,594.86,540.99,432.30,31.62,31.24,-1.42,882.88
9302.22,68.14,506.41,511.16,1047.70,138.15,583.24,528.19,435.78,31.00,34.18,-3.31,885.93
9325.48,73.64,503.15,503.65,982.79,140.99,563.79,524.85,435.75,29.41,33.04,-2.06,886.34
9348.74,78.76,490.64,494.35,939.97,144.90,536.90,530.07,436.84,30.18,29.89,-1.76,891.06
9372.00,81.45,481.21,488.55,932.54,148.65,518.90,537.57,438.24,33.52,30.86,-2.82,901.59
9395.26,81.39,476.38,485.58,942.18,147.58,525.54,536.78,440.98,37.76,36.62,-3.49,916.82
9418.52,78.51,469.11,481.27,951.18,142.45,544.63,522.42,449.26,40.40,42.06,-3.38,946.29
9441.78,73.17,465.93,476.67,958.37,140.38,551.12,503.42,456.61,40.63,43.71,-1.44,996.11
9465.04,67.61,473.88,473.94,958.87,143.60,539.88,493.94,450.73,40.62,43.06,3.97,1052.78
9488.29,64.08,484.03,472.29,944.84,147.07,523.53,496.44,433.11,42.05,43.48,10.19,1098.14
9511.55,61.76,487.22,471.17,928.85,147.62,512.96,503.22,413.12,44.11,45.83,12.03,1129.88
9534.81,60.69,482.34,472.58,932.49,147.05,509.48,508.07,393.42,45.17,47.61,9.32,1159.52
9558.07,63.97,468.55,479.77,951.42,147.92,506.45,507.60,375.98,44.02,47.47,7.46,1199.30
9581.33,70.98,449.44,489.76,959.95,149.60,498.54,500.77,365.55,40.88,47.51,10.68,1255.10
